dataset,year,match_id,home_team,away_team,home_score,away_score,winner
1958--sweden,1958,15,Argentina,Northern Ireland,3,3,Argentina
1958--sweden,1958,14,West Germany,Czechoslovakia,2,2,
1958--sweden,1958,23,West Germany,Northern Ireland,2,2,
1958--sweden,1958,24,Czechoslovakia,Argentina,6,6,Czechoslovakia
1958--sweden,1958,35,Northern Ireland,Czechoslovakia,2,2,Northern Ireland
1958--sweden,1958,3,France,Paraguay,7,7,France
1958--sweden,1958,4,Yugoslavia,Scotland,1,1,
1958--sweden,1958,11,Yugoslavia,France,3,3,Yugoslavia
1958--sweden,1958,10,Paraguay,Scotland,3,3,Paraguay
1958--sweden,1958,20,France,Scotland,2,2,France
1958--sweden,1958,19,Paraguay,Yugoslavia,3,3,
1958--sweden,1958,1,Sweden,Mexico,3,3,Sweden
1958--sweden,1958,2,Hungary,Wales,1,1,
1958--sweden,1958,9,Mexico,Wales,1,1,
1958--sweden,1958,16,Sweden,Hungary,2,2,Sweden
1958--sweden,1958,17,Sweden,Wales,0,0,
1958--sweden,1958,18,Hungary,Mexico,4,4,Hungary
1958--sweden,1958,33,Wales,Hungary,2,2,Wales
1958--sweden,1958,6,Brazil,Austria,3,3,Brazil
1958--sweden,1958,5,Soviet Union,England,2,2,
1958--sweden,1958,12,Brazil,England,0,0,
1958--sweden,1958,13,Soviet Union,Austria,2,2,Soviet Union
1958--sweden,1958,22,England,Austria,2,2,
1958--sweden,1958,21,Brazil,Soviet Union,2,2,Brazil
1958--sweden,1958,34,Soviet Union,England,1,1,Soviet Union
1958--sweden,1958,26,France,Northern Ireland,4,4,France
1958--sweden,1958,25,Sweden,Soviet Union,2,2,Sweden
1958--sweden,1958,27,Brazil,Wales,1,1,Brazil
1958--sweden,1958,28,West Germany,Yugoslavia,1,1,West Germany
1958--sweden,1958,29,France,Brazil,2,2,Brazil
1958--sweden,1958,30,West Germany,Sweden,1,1,Sweden
1958--sweden,1958,31,West Germany,France,3,3,France
1958--sweden,1958,32,Sweden,Brazil,2,2,Brazil
1962--chile,1962,1,Uruguay,Colombia,2,2,Uruguay
1962--chile,1962,5,Soviet Union,Yugoslavia,2,2,Soviet Union
1962--chile,1962,9,Yugoslavia,Uruguay,3,3,Yugoslavia
1962--chile,1962,13,Soviet Union,Colombia,4,4,
1962--chile,1962,17,Soviet Union,Uruguay,2,2,Soviet Union
1962--chile,1962,21,Yugoslavia,Colombia,5,5,Yugoslavia
1962--chile,1962,2,Chile,Switzerland,3,3,Chile
1962--chile,1962,6,West Germany,Italy,0,0,
1962--chile,1962,10,Chile,Italy,2,2,Chile
1962--chile,1962,14,West Germany,Switzerland,2,2,West Germany
1962--chile,1962,18,West Germany,Chile,2,2,West Germany
1962--chile,1962,22,Italy,Switzerland,3,3,Italy
1962--chile,1962,3,Brazil,Mexico,2,2,Brazil
1962--chile,1962,7,Czechoslovakia,Spain,1,1,Czechoslovakia
1962--chile,1962,11,Brazil,Czechoslovakia,0,0,
1962--chile,1962,15,Spain,Mexico,1,1,Spain
1962--chile,1962,19,Brazil,Spain,2,2,Brazil
1962--chile,1962,23,Mexico,Czechoslovakia,3,3,Mexico
1962--chile,1962,4,Argentina,Bulgaria,1,1,Argentina
1962--chile,1962,8,Hungary,England,2,2,Hungary
1962--chile,1962,12,England,Argentina,3,3,England
1962--chile,1962,16,Hungary,Bulgaria,6,6,Hungary
1962--chile,1962,20,Hungary,Argentina,0,0,
1962--chile,1962,24,England,Bulgaria,0,0,
1962--chile,1962,25,Chile,Soviet Union,2,2,Chile
1962--chile,1962,26,Yugoslavia,West Germany,1,1,Yugoslavia
1962--chile,1962,27,Brazil,England,3,3,Brazil
1962--chile,1962,28,Czechoslovakia,Hungary,1,1,Czechoslovakia
1962--chile,1962,29,Brazil,Chile,4,4,Brazil
1962--chile,1962,30,Czechoslovakia,Yugoslavia,3,3,Czechoslovakia
1962--chile,1962,31,Chile,Yugoslavia,1,1,Chile
1962--chile,1962,32,Brazil,Czechoslovakia,3,3,Brazil
1966--england,1966,1,England,Uruguay,0,0,
1966--england,1966,5,France,Mexico,1,1,
1966--england,1966,9,Uruguay,France,2,2,Uruguay
1966--england,1966,13,England,Mexico,2,2,England
1966--england,1966,17,Mexico,Uruguay,0,0,
1966--england,1966,21,England,France,2,2,England
1966--england,1966,2,West Germany,Switzerland,5,5,West Germany
1966--england,1966,6,Argentina,Spain,2,2,Argentina
1966--england,1966,10,Spain,Switzerland,2,2,Spain
1966--england,1966,14,Argentina,West Germany,0,0,
1966--england,1966,18,Argentina,Switzerland,2,2,Argentina
1966--england,1966,22,West Germany,Spain,2,2,West Germany
1966--england,1966,3,Brazil,Bulgaria,2,2,Brazil
1966--england,1966,7,Portugal,Hungary,3,3,Portugal
1966--england,1966,11,Hungary,Brazil,3,3,Hungary
1966--england,1966,15,Portugal,Bulgaria,3,3,Portugal
1966--england,1966,19,Portugal,Brazil,3,3,Portugal
1966--england,1966,23,Hungary,Bulgaria,3,3,Hungary
1966--england,1966,4,Soviet Union,North Korea,3,3,Soviet Union
1966--england,1966,8,Italy,Chile,2,2,Italy
1966--england,1966,12,Chile,North Korea,1,1,
1966--england,1966,16,Soviet Union,Italy,1,1,Soviet Union
1966--england,1966,20,North Korea,Italy,1,1,North Korea
1966--england,1966,24,Soviet Union,Chile,2,2,Soviet Union
1966--england,1966,25,England,Argentina,1,1,England
1966--england,1966,26,West Germany,Uruguay,4,4,West Germany
1966--england,1966,27,Soviet Union,Hungary,2,2,Soviet Union
1966--england,1966,28,Portugal,North Korea,5,5,Portugal
1966--england,1966,29,West Germany,Soviet Union,2,2,West Germany
1966--england,1966,30,England,Portugal,2,2,England
1966--england,1966,31,Portugal,Soviet Union,2,2,Portugal
1966--england,1966,32,England,West Germany,4,4,England
1970--mexico,1970,1,Mexico,Soviet Union,0,0,
1970--mexico,1970,5,Belgium,El Salvador,3,3,Belgium
1970--mexico,1970,9,Soviet Union,Belgium,4,4,Soviet Union
1970--mexico,1970,13,Mexico,El Salvador,4,4,Mexico
1970--mexico,1970,17,Soviet Union,El Salvador,2,2,Soviet Union
1970--mexico,1970,21,Mexico,Belgium,1,1,Mexico
1970--mexico,1970,2,Uruguay,Israel,2,2,Uruguay
1970--mexico,1970,6,Italy,Sweden,1,1,Italy
1970--mexico,1970,10,Uruguay,Italy,0,0,
1970--mexico,1970,14,Sweden,Israel,1,1,
1970--mexico,1970,18,Uruguay,Sweden,0,0,Sweden
1970--mexico,1970,22,Israel,Italy,0,0,
1970--mexico,1970,3,Romania,England,0,0,England
1970--mexico,1970,7,Czechoslovakia,Brazil,1,1,Brazil
1970--mexico,1970,11,Romania,Czechoslovakia,2,2,Romania
1970--mexico,1970,15,England,Brazil,0,0,Brazil
1970--mexico,1970,19,Romania,Brazil,2,2,Brazil
1970--mexico,1970,23,England,Czechoslovakia,1,1,England
1970--mexico,1970,4,Peru,Bulgaria,3,3,Peru
1970--mexico,1970,8,Morocco,West Germany,1,1,West Germany
1970--mexico,1970,12,Peru,Morocco,3,3,Peru
1970--mexico,1970,16,Bulgaria,West Germany,2,2,West Germany
1970--mexico,1970,20,Peru,West Germany,1,1,West Germany
1970--mexico,1970,24,Bulgaria,Morocco,1,1,
1970--mexico,1970,25,Soviet Union,Uruguay,0,0,Uruguay
1970--mexico,1970,26,Italy,Mexico,4,4,Italy
1970--mexico,1970,27,Brazil,Peru,4,4,Brazil
1970--mexico,1970,28,West Germany,England,3,3,West Germany
1970--mexico,1970,29,Uruguay,Brazil,1,1,Brazil
1970--mexico,1970,30,Italy,West Germany,4,4,Italy
1970--mexico,1970,31,Uruguay,West Germany,0,0,West Germany
1970--mexico,1970,32,Brazil,Italy,4,4,Brazil
1974--west-germany,1974,1,West Germany,Chile,1,1,West Germany
1974--west-germany,1974,2,East Germany,Australia,2,2,East Germany
1974--west-germany,1974,9,Chile,East Germany,1,1,
1974--west-germany,1974,10,Australia,West Germany,0,0,West Germany
1974--west-germany,1974,17,Australia,Chile,0,0,
1974--west-germany,1974,18,East Germany,West Germany,1,1,East Germany
1974--west-germany,1974,3,Brazil,Yugoslavia,0,0,
1974--west-germany,1974,4,Zaire,Scotland,0,0,Scotland
1974--west-germany,1974,11,Yugoslavia,Zaire,9,9,Yugoslavia
1974--west-germany,1974,12,Scotland,Brazil,0,0,
1974--west-germany,1974,19,Scotland,Yugoslavia,1,1,
1974--west-germany,1974,20,Zaire,Brazil,0,0,Brazil
1974--west-germany,1974,5,Uruguay,Netherlands,0,0,Netherlands
1974--west-germany,1974,6,Sweden,Bulgaria,0,0,
1974--west-germany,1974,13,Netherlands,Sweden,0,0,
1974--west-germany,1974,14,Uruguay,Bulgaria,1,1,
1974--west-germany,1974,21,Netherlands,Bulgaria,4,4,Netherlands
1974--west-germany,1974,22,Sweden,Uruguay,3,3,Sweden
1974--west-germany,1974,7,Italy,Haiti,3,3,Italy
1974--west-germany,1974,8,Poland,Argentina,3,3,Poland
1974--west-germany,1974,15,Haiti,Poland,0,0,Poland
1974--west-germany,1974,16,Argentina,Italy,1,1,
1974--west-germany,1974,23,Argentina,Haiti,4,4,Argentina
1974--west-germany,1974,24,Poland,Italy,2,2,Poland
1974--west-germany,1974,25,Brazil,East Germany,1,1,Brazil
1974--west-germany,1974,26,Netherlands,Argentina,4,4,Netherlands
1974--west-germany,1974,29,East Germany,Netherlands,0,0,Netherlands
1974--west-germany,1974,30,Argentina,Brazil,1,1,Brazil
1974--west-germany,1974,33,Argentina,East Germany,1,1,
1974--west-germany,1974,34,Netherlands,Brazil,2,2,Netherlands
1974--west-germany,1974,27,Yugoslavia,West Germany,0,0,West Germany
1974--west-germany,1974,28,Sweden,Poland,0,0,Poland
1974--west-germany,1974,31,West Germany,Sweden,4,4,West Germany
1974--west-germany,1974,32,Poland,Yugoslavia,2,2,Poland
1974--west-germany,1974,35,Poland,West Germany,0,0,West Germany
1974--west-germany,1974,36,Sweden,Yugoslavia,2,2,Sweden
1974--west-germany,1974,37,Brazil,Poland,0,0,Poland
1974--west-germany,1974,38,Netherlands,West Germany,1,1,West Germany
1978--argentina,1978,2,Argentina,Hungary,2,2,Argentina
1978--argentina,1978,3,Italy,France,2,2,Italy
1978--argentina,1978,9,Argentina,France,2,2,Argentina
1978--argentina,1978,10,Italy,Hungary,3,3,Italy
1978--argentina,1978,17,Argentina,Italy,0,0,Italy
1978--argentina,1978,18,France,Hungary,3,3,France
1978--argentina,1978,1,West Germany,Poland,0,0,
1978--argentina,1978,4,Tunisia,Mexico,3,3,Tunisia
1978--argentina,1978,11,Poland,Tunisia,1,1,Poland
1978--argentina,1978,12,West Germany,Mexico,6,6,West Germany
1978--argentina,1978,19,Poland,Mexico,3,3,Poland
1978--argentina,1978,20,West Germany,Tunisia,0,0,
1978--argentina,1978,5,Austria,Spain,2,2,Austria
1978--argentina,1978,6,Brazil,Sweden,1,1,
1978--argentina,1978,13,Austria,Sweden,1,1,Austria
1978--argentina,1978,14,Brazil,Spain,0,0,
1978--argentina,1978,21,Spain,Sweden,1,1,Spain
1978--argentina,1978,22,Brazil,Austria,1,1,Brazil
1978--argentina,1978,7,Peru,Scotland,3,3,Peru
1978--argentina,1978,8,Netherlands,Iran,3,3,Netherlands
1978--argentina,1978,15,Scotland,Iran,1,1,
1978--argentina,1978,16,Netherlands,Peru,0,0,
1978--argentina,1978,23,Peru,Iran,4,4,Peru
1978--argentina,1978,24,Scotland,Netherlands,3,3,Scotland
1978--argentina,1978,25,Italy,West Germany,0,0,
1978--argentina,1978,27,Austria,Netherlands,1,1,Netherlands
1978--argentina,1978,29,Italy,Austria,1,1,Italy
1978--argentina,1978,31,Netherlands,West Germany,2,2,
1978--argentina,1978,33,Italy,Netherlands,1,1,Netherlands
1978--argentina,1978,35,Austria,West Germany,3,3,Austria
1978--argentina,1978,26,Argentina,Poland,2,2,Argentina
1978--argentina,1978,28,Peru,Brazil,0,0,Brazil
1978--argentina,1978,30,Argentina,Brazil,0,0,
1978--argentina,1978,32,Peru,Poland,0,0,Poland
1978--argentina,1978,34,Argentina,Peru,6,6,Argentina
1978--argentina,1978,36,Poland,Brazil,1,1,Brazil
1978--argentina,1978,37,Brazil,Italy,2,2,Brazil
1978--argentina,1978,38,Netherlands,Argentina,1,1,Argentina
1982--spain,1982,2,Italy,Poland,0,0,
1982--spain,1982,4,Peru,Cameroon,0,0,
1982--spain,1982,13,Italy,Peru,1,1,
1982--spain,1982,16,Poland,Cameroon,0,0,
1982--spain,1982,25,Poland,Peru,5,5,Poland
1982--spain,1982,28,Italy,Cameroon,1,1,
1982--spain,1982,7,West Germany,Algeria,1,1,Algeria
1982--spain,1982,10,Chile,Austria,0,0,Austria
1982--spain,1982,19,West Germany,Chile,4,4,West Germany
1982--spain,1982,22,Algeria,Austria,0,0,Austria
1982--spain,1982,31,Algeria,Chile,3,3,Algeria
1982--spain,1982,34,West Germany,Austria,1,1,West Germany
1982--spain,1982,1,Argentina,Belgium,0,0,Belgium
1982--spain,1982,5,Hungary,El Salvador,10,10,Hungary
1982--spain,1982,14,Argentina,Hungary,4,4,Argentina
1982--spain,1982,17,Belgium,El Salvador,1,1,Belgium
1982--spain,1982,26,Belgium,Hungary,1,1,
1982--spain,1982,29,Argentina,El Salvador,2,2,Argentina
1982--spain,1982,8,England,France,3,3,England
1982--spain,1982,11,Czechoslovakia,Kuwait,1,1,
1982--spain,1982,20,England,Czechoslovakia,2,2,England
1982--spain,1982,23,France,Kuwait,4,4,France
1982--spain,1982,32,France,Czechoslovakia,1,1,
1982--spain,1982,35,England,Kuwait,1,1,England
1982--spain,1982,9,Spain,Honduras,1,1,
1982--spain,1982,12,Yugoslavia,Northern Ireland,0,0,
1982--spain,1982,21,Spain,Yugoslavia,2,2,Spain
1982--spain,1982,24,Honduras,Northern Ireland,1,1,
1982--spain,1982,33,Honduras,Yugoslavia,0,0,Yugoslavia
1982--spain,1982,36,Spain,Northern Ireland,0,0,Northern Ireland
1982--spain,1982,3,Brazil,Soviet Union,2,2,Brazil
1982--spain,1982,6,Scotland,New Zealand,5,5,Scotland
1982--spain,1982,15,Brazil,Scotland,4,4,Brazil
1982--spain,1982,18,Soviet Union,New Zealand,3,3,Soviet Union
1982--spain,1982,27,Soviet Union,Scotland,2,2,
1982--spain,1982,30,Brazil,New Zealand,4,4,Brazil
1982--spain,1982,38,Poland,Belgium,3,3,Poland
1982--spain,1982,42,Belgium,Soviet Union,0,0,Soviet Union
1982--spain,1982,46,Soviet Union,Poland,0,0,
1982--spain,1982,40,West Germany,England,0,0,
1982--spain,1982,44,West Germany,Spain,2,2,West Germany
1982--spain,1982,48,Spain,England,0,0,
1982--spain,1982,39,Italy,Argentina,2,2,Italy
1982--spain,1982,43,Argentina,Brazil,1,1,Brazil
1982--spain,1982,47,Italy,Brazil,3,3,Italy
1982--spain,1982,37,Austria,France,0,0,France
1982--spain,1982,41,Austria,Northern Ireland,2,2,
1982--spain,1982,45,Northern Ireland,France,1,1,France
1982--spain,1982,49,Poland,Italy,0,0,Italy
1982--spain,1982,50,West Germany,France,3,3,West Germany
1982--spain,1982,51,Poland,France,3,3,Poland
1982--spain,1982,52,Italy,West Germany,3,3,Italy
1986--mexico,1986,1,Bulgaria,Italy,1,1,
1986--mexico,1986,4,Argentina,South Korea,3,3,Argentina
1986--mexico,1986,13,Italy,Argentina,1,1,
1986--mexico,1986,14,South Korea,Bulgaria,1,1,
1986--mexico,1986,27,South Korea,Italy,2,2,Italy
1986--mexico,1986,28,Argentina,Bulgaria,2,2,Argentina
1986--mexico,1986,7,Belgium,Mexico,1,1,Mexico
1986--mexico,1986,10,Paraguay,Iraq,1,1,Paraguay
1986--mexico,1986,19,Mexico,Paraguay,1,1,
1986--mexico,1986,22,Iraq,Belgium,1,1,Belgium
1986--mexico,1986,29,Iraq,Mexico,0,0,Mexico
1986--mexico,1986,30,Paraguay,Belgium,2,2,
1986--mexico,1986,2,Canada,France,0,0,France
1986--mexico,1986,5,Soviet Union,Hungary,6,6,Soviet Union
1986--mexico,1986,15,France,Soviet Union,1,1,
1986--mexico,1986,16,Hungary,Canada,2,2,Hungary
1986--mexico,1986,25,Hungary,France,0,0,France
1986--mexico,1986,26,Soviet Union,Canada,2,2,Soviet Union
1986--mexico,1986,3,Spain,Brazil,0,0,Brazil
1986--mexico,1986,8,Algeria,Northern Ireland,1,1,
1986--mexico,1986,17,Brazil,Algeria,1,1,Brazil
1986--mexico,1986,20,Northern Ireland,Spain,1,1,Spain
1986--mexico,1986,33,Northern Ireland,Brazil,0,0,Brazil
1986--mexico,1986,34,Algeria,Spain,0,0,Spain
1986--mexico,1986,11,Uruguay,West Germany,1,1,
1986--mexico,1986,12,Scotland,Denmark,0,0,Denmark
1986--mexico,1986,23,West Germany,Scotland,2,2,West Germany
1986--mexico,1986,24,Denmark,Uruguay,6,6,Denmark
1986--mexico,1986,35,Denmark,West Germany,2,2,Denmark
1986--mexico,1986,36,Scotland,Uruguay,0,0,
1986--mexico,1986,6,Morocco,Poland,0,0,
1986--mexico,1986,9,Portugal,England,1,1,Portugal
1986--mexico,1986,18,England,Morocco,0,0,
1986--mexico,1986,21,Poland,Portugal,1,1,Poland
1986--mexico,1986,31,Portugal,Morocco,1,1,Morocco
1986--mexico,1986,32,England,Poland,3,3,England
1986--mexico,1986,37,Mexico,Bulgaria,2,2,Mexico
1986--mexico,1986,38,Soviet Union,Belgium,3,3,Belgium
1986--mexico,1986,39,Argentina,Uruguay,1,1,Argentina
1986--mexico,1986,40,Brazil,Poland,4,4,Brazil
1986--mexico,1986,41,Italy,France,0,0,France
1986--mexico,1986,42,Morocco,West Germany,0,0,West Germany
1986--mexico,1986,43,England,Paraguay,3,3,England
1986--mexico,1986,44,Denmark,Spain,1,1,Spain
1986--mexico,1986,45,Brazil,France,1,1,France
1986--mexico,1986,46,West Germany,Mexico,0,0,West Germany
1986--mexico,1986,47,Spain,Belgium,1,1,Belgium
1986--mexico,1986,48,Argentina,England,2,2,Argentina
1986--mexico,1986,49,Argentina,Belgium,2,2,Argentina
1986--mexico,1986,50,France,West Germany,0,0,West Germany
1986--mexico,1986,51,France,Belgium,4,4,France
1986--mexico,1986,52,Argentina,West Germany,3,3,Argentina
1990--italy,1990,3,Italy,Austria,1,1,Italy
1990--italy,1990,5,United States,Czechoslovakia,1,1,Czechoslovakia
1990--italy,1990,15,Italy,United States,1,1,Italy
1990--italy,1990,17,Austria,Czechoslovakia,0,0,Czechoslovakia
1990--italy,1990,29,Italy,Czechoslovakia,2,2,Italy
1990--italy,1990,30,Austria,United States,2,2,Austria
1990--italy,1990,1,Argentina,Cameroon,0,0,Cameroon
1990--italy,1990,2,Soviet Union,Romania,0,0,Romania
1990--italy,1990,13,Argentina,Soviet Union,2,2,Argentina
1990--italy,1990,16,Cameroon,Romania,2,2,Cameroon
1990--italy,1990,25,Argentina,Romania,1,1,
1990--italy,1990,26,Cameroon,Soviet Union,0,0,Soviet Union
1990--italy,1990,6,Brazil,Sweden,2,2,Brazil
1990--italy,1990,8,Costa Rica,Scotland,1,1,Costa Rica
1990--italy,1990,19,Brazil,Costa Rica,1,1,Brazil
1990--italy,1990,20,Sweden,Scotland,1,1,Scotland
1990--italy,1990,31,Brazil,Scotland,1,1,Brazil
1990--italy,1990,32,Sweden,Costa Rica,1,1,Costa Rica
1990--italy,1990,4,United Arab Emirates,Colombia,0,0,Colombia
1990--italy,1990,7,West Germany,Yugoslavia,4,4,West Germany
1990--italy,1990,14,Yugoslavia,Colombia,1,1,Yugoslavia
1990--italy,1990,18,West Germany,United Arab Emirates,5,5,West Germany
1990--italy,1990,27,West Germany,Colombia,1,1,
1990--italy,1990,28,Yugoslavia,United Arab Emirates,4,4,Yugoslavia
1990--italy,1990,10,Belgium,South Korea,2,2,Belgium
1990--italy,1990,12,Uruguay,Spain,0,0,
1990--italy,1990,23,Belgium,Uruguay,3,3,Belgium
1990--italy,1990,24,South Korea,Spain,1,1,Spain
1990--italy,1990,33,Belgium,Spain,1,1,Spain
1990--italy,1990,34,South Korea,Uruguay,0,0,Uruguay
1990--italy,1990,9,England,Ireland,1,1,
1990--italy,1990,11,Netherlands,Egypt,1,1,
1990--italy,1990,21,England,Netherlands,0,0,
1990--italy,1990,22,Ireland,Egypt,0,0,
1990--italy,1990,35,England,Egypt,1,1,England
1990--italy,1990,36,Ireland,Netherlands,1,1,
1990--italy,1990,37,Cameroon,Colombia,2,2,Cameroon
1990--italy,1990,38,Czechoslovakia,Costa Rica,4,4,Czechoslovakia
1990--italy,1990,39,Brazil,Argentina,0,0,Argentina
1990--italy,1990,40,West Germany,Netherlands,2,2,West Germany
1990--italy,1990,41,Ireland,Romania,0,0,Ireland
1990--italy,1990,42,Italy,Uruguay,2,2,Italy
1990--italy,1990,43,Spain,Yugoslavia,1,1,Yugoslavia
1990--italy,1990,44,England,Belgium,1,1,England
1990--italy,1990,45,Yugoslavia,Argentina,0,0,Argentina
1990--italy,1990,46,Italy,Ireland,1,1,Italy
1990--italy,1990,47,West Germany,Czechoslovakia,1,1,West Germany
1990--italy,1990,48,England,Cameroon,3,3,England
1990--italy,1990,49,Italy,Argentina,1,1,Argentina
1990--italy,1990,50,West Germany,England,1,1,West Germany
1990--italy,1990,51,Italy,England,2,2,Italy
1990--italy,1990,52,West Germany,Argentina,1,1,West Germany
1994--united-states,1994,3,United States,Switzerland,1,1,
1994--united-states,1994,5,Colombia,Romania,1,1,Romania
