dataset,year,match_id,team,minute_score
1938--france,1938,6,Poland,118
1938--france,1938,7,Czechoslovakia,93
1938--france,1938,7,Czechoslovakia,111
1938--france,1938,7,Czechoslovakia,118
1938--france,1938,8,Cuba,51
1938--france,1938,8,Cuba,57
1938--france,1938,8,Romania,35
1938--france,1938,9,Germany,8
1938--france,1938,9,Germany,22
1938--france,1938,9,Switzerland,42
1938--france,1938,9,Switzerland,64
1938--france,1938,9,Switzerland,75
1938--france,1938,9,Switzerland,78
1938--france,1938,10,Brazil,30
1938--france,1938,10,Czechoslovakia,65
1938--france,1938,11,Hungary,40
1938--france,1938,11,Hungary,89
1938--france,1938,12,Sweden,9
1938--france,1938,12,Sweden,81
1938--france,1938,12,Sweden,90
1938--france,1938,12,Sweden,32
1938--france,1938,12,Sweden,37
1938--france,1938,12,Sweden,44
1938--france,1938,12,Sweden,80
1938--france,1938,12,Sweden,84
1938--france,1938,13,France,10
1938--france,1938,13,Italy,9
1938--france,1938,13,Italy,51
1938--france,1938,13,Italy,72
1938--france,1938,14,Brazil,57
1938--france,1938,14,Brazil,62
1938--france,1938,14,Czechoslovakia,25
1938--france,1938,15,Hungary,19
1938--france,1938,15,Hungary,37
1938--france,1938,15,Hungary,39
1938--france,1938,15,Hungary,85
1938--france,1938,15,Hungary,65
1938--france,1938,15,Sweden,1
1938--france,1938,16,Italy,51
1938--france,1938,16,Italy,60
1938--france,1938,16,Brazil,87
1938--france,1938,17,Sweden,28
1938--france,1938,17,Sweden,38
1938--france,1938,17,Brazil,44
1938--france,1938,17,Brazil,63
1938--france,1938,17,Brazil,74
1938--france,1938,17,Brazil,80
1938--france,1938,18,Hungary,8
1938--france,1938,18,Hungary,70
1938--france,1938,18,Italy,6
1938--france,1938,18,Italy,35
1938--france,1938,18,Italy,16
1938--france,1938,18,Italy,82
1950--brazil,1950,1,Brazil,30
1950--brazil,1950,1,Brazil,79
1950--brazil,1950,1,Brazil,65
1950--brazil,1950,1,Brazil,71
1950--brazil,1950,5,Yugoslavia,59
1950--brazil,1950,5,Yugoslavia,70
1950--brazil,1950,5,Yugoslavia,75
1950--brazil,1950,6,Brazil,3
1950--brazil,1950,6,Brazil,32
1950--brazil,1950,6,Switzerland,17
1950--brazil,1950,6,Switzerland,88
1950--brazil,1950,7,Yugoslavia,19
1950--brazil,1950,7,Yugoslavia,22
1950--brazil,1950,7,Yugoslavia,62
1950--brazil,1950,7,Yugoslavia,81
1950--brazil,1950,7,Mexico,89
1950--brazil,1950,11,Brazil,4
1950--brazil,1950,11,Brazil,69
1950--brazil,1950,14,Switzerland,10
1950--brazil,1950,14,Switzerland,44
1950--brazil,1950,14,Mexico,89
1950--brazil,1950,2,England,27
1950--brazil,1950,2,England,51
1950--brazil,1950,3,Spain,81
1950--brazil,1950,3,Spain,83
1950--brazil,1950,3,Spain,89
1950--brazil,1950,3,United States,17
1950--brazil,1950,8,Spain,17
1950--brazil,1950,8,Spain,30
1950--brazil,1950,10,United States,38
1950--brazil,1950,12,Spain,48
1950--brazil,1950,15,Chile,16
1950--brazil,1950,15,Chile,32
1950--brazil,1950,15,Chile,54
1950--brazil,1950,15,Chile,82
1950--brazil,1950,15,Chile,60
1950--brazil,1950,15,United States,47
1950--brazil,1950,15,United States,48
1950--brazil,1950,4,Sweden,25
1950--brazil,1950,4,Sweden,68
1950--brazil,1950,4,Sweden,33
1950--brazil,1950,4,Italy,7
1950--brazil,1950,4,Italy,75
1950--brazil,1950,9,Sweden,17
1950--brazil,1950,9,Sweden,26
1950--brazil,1950,9,Paraguay,35
1950--brazil,1950,9,Paraguay,74
1950--brazil,1950,13,Italy,12
1950--brazil,1950,13,Italy,62
1950--brazil,1950,16,Uruguay,14
1950--brazil,1950,16,Uruguay,40
1950--brazil,1950,16,Uruguay,51
1950--brazil,1950,16,Uruguay,18
1950--brazil,1950,16,Uruguay,23
1950--brazil,1950,16,Uruguay,54
1950--brazil,1950,16,Uruguay,83
1950--brazil,1950,16,Uruguay,87
1950--brazil,1950,17,Uruguay,29
1950--brazil,1950,17,Uruguay,73
1950--brazil,1950,17,Spain,37
1950--brazil,1950,17,Spain,39
1950--brazil,1950,18,Brazil,17
1950--brazil,1950,18,Brazil,36
1950--brazil,1950,18,Brazil,52
1950--brazil,1950,18,Brazil,58
1950--brazil,1950,18,Brazil,39
1950--brazil,1950,18,Brazil,88
1950--brazil,1950,18,Brazil,85
1950--brazil,1950,18,Sweden,67
1950--brazil,1950,19,Brazil,15
1950--brazil,1950,19,Brazil,21
1950--brazil,1950,19,Brazil,31
1950--brazil,1950,19,Brazil,55
1950--brazil,1950,19,Brazil,57
1950--brazil,1950,19,Brazil,67
1950--brazil,1950,19,Spain,71
1950--brazil,1950,20,Uruguay,39
1950--brazil,1950,20,Uruguay,77
1950--brazil,1950,20,Uruguay,85
1950--brazil,1950,20,Sweden,5
1950--brazil,1950,20,Sweden,40
1950--brazil,1950,21,Sweden,15
1950--brazil,1950,21,Sweden,33
1950--brazil,1950,21,Sweden,80
1950--brazil,1950,21,Spain,82
1950--brazil,1950,22,Uruguay,66
1950--brazil,1950,22,Uruguay,79
1950--brazil,1950,22,Brazil,47
2014--brazil,2014,1,Brazil,29
2014--brazil,2014,1,Brazil,71
2014--brazil,2014,1,Brazil,90
2014--brazil,2014,1,Croatia,11
2014--brazil,2014,2,Mexico,61
2014--brazil,2014,18,Croatia,11
2014--brazil,2014,18,Croatia,48
2014--brazil,2014,18,Croatia,61
2014--brazil,2014,18,Croatia,73
2014--brazil,2014,33,Cameroon,26
2014--brazil,2014,33,Brazil,17
2014--brazil,2014,33,Brazil,35
2014--brazil,2014,33,Brazil,49
2014--brazil,2014,33,Brazil,84
2014--brazil,2014,34,Croatia,87
2014--brazil,2014,34,Mexico,72
2014--brazil,2014,34,Mexico,75
2014--brazil,2014,34,Mexico,82
2014--brazil,2014,3,Spain,27
2014--brazil,2014,3,Netherlands,44
2014--brazil,2014,3,Netherlands,72
2014--brazil,2014,3,Netherlands,53
2014--brazil,2014,3,Netherlands,80
2014--brazil,2014,3,Netherlands,65
2014--brazil,2014,4,Chile,12
2014--brazil,2014,4,Chile,14
2014--brazil,2014,4,Chile,90
2014--brazil,2014,4,Australia,35
2014--brazil,2014,19,Chile,20
2014--brazil,2014,19,Chile,43
2014--brazil,2014,20,Australia,21
2014--brazil,2014,20,Australia,54
2014--brazil,2014,20,Netherlands,20
2014--brazil,2014,20,Netherlands,58
2014--brazil,2014,20,Netherlands,68
2014--brazil,2014,35,Spain,36
2014--brazil,2014,35,Spain,69
2014--brazil,2014,35,Spain,82
2014--brazil,2014,36,Netherlands,77
2014--brazil,2014,36,Netherlands,90
2014--brazil,2014,5,Colombia,5
2014--brazil,2014,5,Colombia,58
2014--brazil,2014,5,Colombia,90
2014--brazil,2014,6,Côte d'Ivoire,64
2014--brazil,2014,6,Côte d'Ivoire,66
2014--brazil,2014,6,Japan,16
2014--brazil,2014,21,Colombia,64
2014--brazil,2014,21,Colombia,70
2014--brazil,2014,21,Côte d'Ivoire,73
2014--brazil,2014,37,Japan,45
2014--brazil,2014,37,Colombia,17
2014--brazil,2014,37,Colombia,55
2014--brazil,2014,37,Colombia,82
2014--brazil,2014,37,Colombia,90
2014--brazil,2014,38,Greece,42
2014--brazil,2014,38,Greece,90
2014--brazil,2014,38,Côte d'Ivoire,74
2014--brazil,2014,7,Uruguay,24
2014--brazil,2014,7,Costa Rica,54
2014--brazil,2014,7,Costa Rica,57
2014--brazil,2014,7,Costa Rica,84
2014--brazil,2014,8,England,37
2014--brazil,2014,8,Italy,35
2014--brazil,2014,8,Italy,50
2014--brazil,2014,23,Uruguay,39
2014--brazil,2014,23,Uruguay,85
2014--brazil,2014,23,England,75
2014--brazil,2014,24,Costa Rica,44
2014--brazil,2014,39,Uruguay,81
2014--brazil,2014,9,Switzerland,48
2014--brazil,2014,9,Switzerland,90
2014--brazil,2014,9,Ecuador,22
2014--brazil,2014,10,France,48
2014--brazil,2014,10,France,45
2014--brazil,2014,10,France,72
2014--brazil,2014,25,Switzerland,81
2014--brazil,2014,25,Switzerland,87
2014--brazil,2014,25,France,17
2014--brazil,2014,25,France,18
2014--brazil,2014,25,France,40
2014--brazil,2014,25,France,67
2014--brazil,2014,25,France,73
2014--brazil,2014,26,Honduras,31
2014--brazil,2014,26,Ecuador,34
2014--brazil,2014,26,Ecuador,65
2014--brazil,2014,41,Switzerland,6
2014--brazil,2014,41,Switzerland,31
2014--brazil,2014,41,Switzerland,71
2014--brazil,2014,11,Argentina,3
2014--brazil,2014,11,Argentina,65
2014--brazil,2014,11,Bosnia-Herzegovina,85
2014--brazil,2014,27,Argentina,90
2014--brazil,2014,28,Nigeria,29
2014--brazil,2014,43,Nigeria,4
2014--brazil,2014,43,Nigeria,47
2014--brazil,2014,43,Argentina,3
2014--brazil,2014,43,Argentina,45
2014--brazil,2014,43,Argentina,50
2014--brazil,2014,44,Bosnia-Herzegovina,23
2014--brazil,2014,44,Bosnia-Herzegovina,59
2014--brazil,2014,44,Bosnia-Herzegovina,83
2014--brazil,2014,44,Iran,82
2014--brazil,2014,13,Germany,12
2014--brazil,2014,13,Germany,45
2014--brazil,2014,13,Germany,78
2014--brazil,2014,13,Germany,32
2014--brazil,2014,14,Ghana,82
2014--brazil,2014,14,United States,1
2014--brazil,2014,14,United States,86
2014--brazil,2014,29,Germany,51
2014--brazil,2014,29,Germany,71
2014--brazil,2014,29,Ghana,54
2014--brazil,2014,29,Ghana,63
2014--brazil,2014,30,United States,64
2014--brazil,2014,30,United States,81
2014--brazil,2014,30,Portugal,5
2014--brazil,2014,30,Portugal,90
2014--brazil,2014,45,Germany,55
2014--brazil,2014,46,Portugal,31
2014--brazil,2014,46,Portugal,80
2014--brazil,2014,46,Ghana,57
2014--brazil,2014,15,Belgium,70
2014--brazil,2014,15,Belgium,80
2014--brazil,2014,15,Algeria,25
2014--brazil,2014,16,Russia,74
2014--brazil,2014,16,South Korea,68
2014--brazil,2014,31,Belgium,88
2014--brazil,2014,32,South Korea,50
2014--brazil,2014,32,South Korea,72
2014--brazil,2014,32,Algeria,26
2014--brazil,2014,32,Algeria,28
2014--brazil,2014,32,Algeria,38
2014--brazil,2014,32,Algeria,62
2014--brazil,2014,47,Belgium,78
2014--brazil,2014,48,Algeria,60
2014--brazil,2014,48,Russia,6
2014--brazil,2014,49,Brazil,18
2014--brazil,2014,49,Chile,32
2014--brazil,2014,50,Colombia,28
